Algo,Source,Target,n_features
LiNGAM,ag_009,ck_000,18
LiNGAM,ag_009,bc_000,18
LiNGAM,ag_009,ba_008,18
LiNGAM,ag_009,class,18
LiNGAM,ai_000,cb_000,18
LiNGAM,ai_000,ck_000,18
LiNGAM,ai_000,ag_009,18
LiNGAM,ai_000,bk_000,18
LiNGAM,ai_000,ba_008,18
LiNGAM,ai_000,class,18
LiNGAM,bq_000,ck_000,18
LiNGAM,bq_000,ac_000,18
LiNGAM,bq_000,ag_009,18
LiNGAM,bq_000,ba_008,18
LiNGAM,bm_000,cb_000,18
LiNGAM,bm_000,ck_000,18
LiNGAM,bm_000,bq_000,18
LiNGAM,bm_000,ba_008,18
LiNGAM,bk_000,bm_000,18
LiNGAM,bk_000,ba_008,18
LiNGAM,bk_000,class,18
LiNGAM,bc_000,cb_000,18
LiNGAM,bc_000,ck_000,18
LiNGAM,bc_000,class,18
LiNGAM,ba_008,cb_000,18
LiNGAM,ba_008,bc_000,18
LiNGAM,ba_008,az_006,18
LiNGAM,ba_008,class,18
LiNGAM,cn_001,cb_000,18
LiNGAM,cn_001,ck_000,18
LiNGAM,cn_001,ac_000,18
LiNGAM,cn_001,ag_009,18
LiNGAM,cn_001,bc_000,18
LiNGAM,cn_001,ba_008,18
LiNGAM,cn_001,class,18
LiNGAM,az_006,ck_000,18
LiNGAM,ay_000,cb_000,18
LiNGAM,ay_000,ba_008,18
LiNGAM,ay_000,class,18
LiNGAM,dg_000,cb_000,18
LiNGAM,dg_000,ck_000,18
LiNGAM,dg_000,ag_009,18
LiNGAM,dg_000,cn_001,18
LiNGAM,dg_000,class,18
PC,cb_000,ck_000,18
PC,ck_000,class,18
PC,ac_000,cb_000,18
PC,ac_000,ck_000,18
PC,ac_000,ag_009,18
PC,ac_000,bc_000,18
PC,ac_000,ba_008,18
PC,ac_000,cn_001,18
PC,ac_000,az_006,18
PC,ag_009,cb_000,18
PC,ag_009,ck_000,18
PC,ag_009,bq_000,18
PC,ag_009,cn_001,18
PC,ag_009,class,18
PC,ai_000,cb_000,18
PC,ai_000,ck_000,18
PC,ai_000,ag_009,18
PC,ai_000,bc_000,18
PC,ai_000,ba_008,18
PC,ai_000,cn_001,18
PC,ai_000,az_006,18
PC,ai_000,class,18
PC,bq_000,ck_000,18
PC,bq_000,bc_000,18
PC,bm_000,cb_000,18
PC,bm_000,bq_000,18
PC,bm_000,bk_000,18
PC,bk_000,cb_000,18
PC,bk_000,ck_000,18
PC,bk_000,bq_000,18
PC,bk_000,cn_001,18
PC,bc_000,cb_000,18
PC,bc_000,ck_000,18
PC,bc_000,ag_009,18
PC,bc_000,ba_008,18
PC,bc_000,cn_001,18
PC,bc_000,az_006,18
PC,bc_000,class,18
PC,ba_008,ck_000,18
PC,ba_008,bq_000,18
PC,ba_008,class,18
PC,cn_001,cb_000,18
PC,cn_001,ck_000,18
PC,cn_001,ba_008,18
PC,cn_001,class,18
PC,az_006,cb_000,18
PC,az_006,ck_000,18
PC,az_006,bq_000,18
PC,az_006,ba_008,18
PC,az_006,cn_001,18
PC,az_006,class,18
PC,ay_000,cb_000,18
PC,ay_000,ck_000,18
PC,ay_000,ag_009,18
PC,ay_000,bk_000,18
PC,ay_000,ba_008,18
PC,ay_000,cn_001,18
PC,ay_000,az_006,18
PC,ay_000,class,18
PC,dg_000,cb_000,18
PC,dg_000,ck_000,18
PC,dg_000,bc_000,18
PC,dg_000,ba_008,18
PC,dg_000,cn_001,18
PC,dg_000,az_006,18
PC,dg_000,class,18
LiNGAM,cb_000,ck_000,24
LiNGAM,cb_000,class,24
LiNGAM,ay_008,az_006,24
LiNGAM,ck_000,ay_008,24
LiNGAM,ck_000,az_006,24
LiNGAM,ck_000,class,24
LiNGAM,ag_009,cb_000,24
LiNGAM,ag_009,ck_000,24
LiNGAM,ag_009,bc_000,24
LiNGAM,ag_009,ba_008,24
LiNGAM,ag_009,az_006,24
LiNGAM,ac_000,az_006,24
LiNGAM,ac_000,br_000_is_missing,24
LiNGAM,ac_000,class,24
LiNGAM,bc_000,cb_000,24
LiNGAM,bc_000,ay_008,24
LiNGAM,bc_000,ck_000,24
LiNGAM,bc_000,class,24
LiNGAM,ba_008,ay_008,24
LiNGAM,ba_008,bc_000,24
LiNGAM,ba_008,az_006,24
LiNGAM,bq_000,ac_000,24
LiNGAM,bq_000,br_000_is_missing,24
LiNGAM,bk_000,bm_000,24
LiNGAM,bk_000,br_000_is_missing,24
LiNGAM,bk_000,class,24
LiNGAM,bm_000,cb_000,24
LiNGAM,bm_000,ck_000,24
LiNGAM,bm_000,bq_000,24
LiNGAM,bm_000,br_000_is_missing,24
LiNGAM,br_000_is_missing,cb_000,24
LiNGAM,br_000_is_missing,ck_000,24
LiNGAM,br_000_is_missing,ag_009,24
LiNGAM,br_000_is_missing,ba_008,24
LiNGAM,br_000_is_missing,az_006,24
LiNGAM,br_000_is_missing,class,24
LiNGAM,ai_000,cb_000,24
LiNGAM,ai_000,ay_008,24
LiNGAM,ai_000,ck_000,24
LiNGAM,ai_000,ag_009,24
LiNGAM,ai_000,ba_008,24
LiNGAM,ai_000,bk_000,24
LiNGAM,ai_000,br_000_is_missing,24
LiNGAM,ai_000,class,24
LiNGAM,ag_002,ay_008,24
LiNGAM,ag_002,ck_000,24
LiNGAM,ag_002,ac_000,24
LiNGAM,ag_002,ba_008,24
LiNGAM,ag_002,br_000_is_missing,24
LiNGAM,ag_002,ai_000,24
LiNGAM,ag_002,cj_000,24
LiNGAM,ag_002,class,24
LiNGAM,dg_000,cb_000,24
LiNGAM,dg_000,ck_000,24
LiNGAM,dg_000,ag_009,24
LiNGAM,dg_000,ag_002,24
LiNGAM,dg_000,cj_000,24
LiNGAM,dg_000,class,24
LiNGAM,cj_000,ag_009,24
LiNGAM,cj_000,ba_008,24
LiNGAM,cj_000,class,24
LiNGAM,ay_000,cb_000,24
LiNGAM,ay_000,ba_008,24
LiNGAM,ay_000,class,24
PC,cb_000,ck_000,24
PC,ay_008,cb_000,24
PC,ay_008,ag_009,24
PC,ay_008,bc_000,24
PC,ay_008,ag_002,24
PC,ay_008,cj_000,24
PC,ck_000,br_000_is_missing,24
PC,ck_000,class,24
PC,ag_009,cb_000,24
PC,ag_009,ck_000,24
PC,ac_000,cb_000,24
PC,ac_000,ay_008,24
PC,ac_000,ck_000,24
PC,ac_000,ag_009,24
PC,ac_000,bc_000,24
PC,ac_000,ba_008,24
PC,ac_000,az_006,24
PC,ac_000,br_000_is_missing,24
PC,ac_000,cj_000,24
PC,bc_000,cb_000,24
PC,bc_000,ag_009,24
PC,bc_000,az_006,24
PC,bc_000,ag_002,24
PC,bc_000,cj_000,24
PC,bc_000,class,24
PC,ba_008,bc_000,24
PC,ba_008,cj_000,24
PC,ba_008,class,24
PC,az_006,cb_000,24
PC,az_006,bq_000,24
PC,az_006,class,24
PC,bq_000,bc_000,24
PC,bq_000,bm_000,24
PC,bq_000,br_000_is_missing,24
PC,bk_000,cb_000,24
PC,bk_000,bq_000,24
PC,bk_000,bm_000,24
PC,bm_000,cb_000,24
PC,bm_000,ba_008,24
PC,br_000_is_missing,cb_000,24
PC,br_000_is_missing,ay_008,24
PC,br_000_is_missing,ag_009,24
PC,br_000_is_missing,bc_000,24
PC,br_000_is_missing,ba_008,24
PC,br_000_is_missing,az_006,24
PC,br_000_is_missing,ag_002,24
PC,br_000_is_missing,cj_000,24
PC,br_000_is_missing,class,24
PC,ai_000,cb_000,24
PC,ai_000,ay_008,24
PC,ai_000,ck_000,24
PC,ai_000,ag_009,24
PC,ai_000,bc_000,24
PC,ai_000,ba_008,24
PC,ai_000,az_006,24
PC,ai_000,cj_000,24
PC,ai_000,class,24
PC,ag_002,cb_000,24
PC,ag_002,ck_000,24
PC,ag_002,ag_009,24
PC,ag_002,ba_008,24
PC,ag_002,az_006,24
PC,ag_002,cj_000,24
PC,ag_002,class,24
PC,dg_000,ck_000,24
PC,dg_000,ba_008,24
PC,dg_000,az_006,24
PC,dg_000,ag_002,24
PC,dg_000,cj_000,24
PC,dg_000,class,24
PC,cj_000,cb_000,24
PC,cj_000,class,24
PC,ay_000,cb_000,24
PC,ay_000,ck_000,24
PC,ay_000,ag_009,24
PC,ay_000,ba_008,24
PC,ay_000,az_006,24
PC,ay_000,ag_002,24
PC,ay_000,cj_000,24
PC,ay_000,class,24
